strain	rep	gen	batch	r	k	n0	auc	sigma
X	6	465	2	2.09059	0.33414	5.9355e-11	2.51296	0.01895
X	7	465	2	1.32798	0.30015	1.5032e-07	2.16007	0.01015
X	8	465	2	1.54009	0.32973	2.0770e-08	2.43808	0.01122
k	2	465	2	0.90311	0.30807	6.8931e-07	1.15940	0.00769
k	2	465	2	0.81519	0.29593	2.6786e-06	1.25947	0.01423
k	2	465	2	0.79080	0.31560	4.6072e-06	1.38054	0.01284
S	0	0	3	1.29155	0.29862	2.3480e-08	1.63261	0.01142
S	0	0	3	1.26421	0.29975	3.2019e-08	1.60203	0.01056
S	0	0	3	1.29821	0.29533	2.6056e-08	1.62524	0.00942
M	0	0	3	1.23656	0.31746	5.4547e-08	1.71060	0.00935
M	0	0	3	1.27453	0.30675	3.9662e-08	1.70464	0.01052
M	0	0	3	1.25238	0.30393	4.3998e-08	1.66694	0.01006
L	0	0	3	1.00456	0.30629	3.5079e-07	1.34524	0.00947
L	0	0	3	1.01402	0.31089	4.1345e-07	1.44609	0.00879
L	0	0	3	1.03106	0.29676	1.9507e-07	1.26837	0.00997
X	0	0	3	1.35629	0.33903	1.7865e-08	1.91568	0.01403
X	0	0	3	1.19522	0.34834	1.3335e-07	1.98700	0.01447
X	0	0	3	1.19567	0.33883	1.5480e-07	1.98168	0.01345
S	1	1046	3	1.39725	0.29407	1.4735e-08	1.74552	0.00951
S	2	1046	3	1.40069	0.32470	3.8583e-08	2.14751	0.01092
S	3	1046	3	1.24706	0.33804	6.1297e-08	1.86079	0.00947
S	4	1046	3	1.22475	0.22246	2.0437e-08	1.06796	0.01157
S	5	1046	3	1.29980	0.29927	3.9250e-08	1.77088	0.01320
S	6	1046	3	1.44849	0.26743	6.3276e-09	1.60820	0.01271
S	7	1046	3	1.29479	0.33373	5.8292e-08	1.98786	0.00978
S	8	1046	3	1.21150	0.29291	9.0173e-08	1.65578	0.00950
M	1	1046	3	1.22046	0.31125	1.4755e-07	1.87781	0.00981
M	2	1046	3	1.29102	0.31037	5.9031e-08	1.85903	0.00858
M	3	1046	3	1.21474	0.30028	1.5827e-07	1.85125	0.01250
M	4	1046	3	1.35252	0.30504	3.1178e-08	1.85025	0.00897
M	5	1046	3	1.06380	0.30402	1.2487e-06	1.95080	0.01211
M	6	1046	3	1.44679	0.27118	9.4811e-09	1.68388	0.01145
M	7	1046	3	1.33855	0.31293	3.8104e-08	1.90723	0.01001
M	8	1046	3	1.35807	0.31153	3.9840e-08	1.96433	0.01010
L	1	1046	3	1.37635	0.27940	3.7120e-08	1.81383	0.01038
L	2	1046	3	1.34713	0.31335	3.7394e-08	1.93176	0.00985
L	3	1046	3	1.28804	0.31084	1.3714e-07	2.06824	0.01335
L	4	1046	3	1.07709	0.34580	9.4944e-07	2.07892	0.01034
L	5	1046	3	1.43143	0.31916	3.1716e-08	2.15082	0.01019
L	6	1046	3	1.42244	0.32828	1.7927e-08	2.03835	0.01033
L	7	1046	3	1.37240	0.29109	2.8821e-08	1.81315	0.00941
L	8	1046	3	1.18904	0.29722	2.2187e-07	1.84138	0.01146
X	1	1046	3	1.31669	0.37490	1.3499e-07	2.49079	0.02419
X	2	1046	3	1.64789	0.33985	4.1175e-09	2.35984	0.01922
X	3	1046	3	1.67923	0.35165	1.1420e-08	2.70945	0.01184
X	4	1046	3	1.76616	0.36078	7.3180e-10	2.41335	0.01797
X	5	1046	3	2.08297	0.43077	1.1728e-11	2.73804	0.03019
X	6	1046	3	1.66273	0.36886	3.2964e-09	2.53270	0.03203
X	7	1046	3	1.11235	0.30170	1.0026e-06	2.00531	0.01351
X	8	1046	3	1.53218	0.28517	1.6848e-08	2.04007	0.01314
k	2	1046	3	0.87860	0.32855	9.7098e-07	1.15668	0.00779
k	2	1046	3	0.93303	0.31472	5.2860e-07	1.17523	0.00741
k	2	1046	3	0.94201	0.31389	4.5649e-07	1.16641	0.00758
S	0	0	4	1.26282	0.29914	2.7747e-08	1.55826	0.00987
S	0	0	4	1.23853	0.30005	4.0711e-08	1.58724	0.01058
S	0	0	4	1.31789	0.29467	2.0663e-08	1.64173	0.01159
M	0	0	4	1.21499	0.30671	7.5820e-08	1.67548	0.00877
M	0	0	4	1.28443	0.29413	3.5414e-08	1.65283	0.01041
M	0	0	4	1.20937	0.30414	6.2524e-08	1.61804	0.01043
L	0	0	4	0.97000	0.31330	4.6226e-07	1.29808	0.00828
L	0	0	4	0.97307	0.31258	5.4678e-07	1.36934	0.00901
L	0	0	4	0.97130	0.29365	3.8606e-07	1.20957	0.00917
X	0	0	4	1.24195	0.34925	5.8269e-08	1.89689	0.01229
X	0	0	4	1.20715	0.33215	1.2527e-07	1.94069	0.01537
X	0	0	4	1.18213	0.32660	2.2356e-07	1.98044	0.01524
S	1	1046	4	1.34025	0.30374	2.5558e-08	1.76771	0.00907
S	2	1046	4	1.36181	0.31865	5.6197e-08	2.10170	0.01085
S	3	1046	4	1.20771	0.33484	8.8067e-08	1.81914	0.00998
S	4	1046	4	1.12844	0.23487	5.5297e-08	1.08825	0.01111
S	5	1046	4	1.27083	0.29109	5.5949e-08	1.71488	0.01266
S	6	1046	4	1.41692	0.26606	7.6639e-09	1.55629	0.01227
S	7	1046	4	1.24462	0.33539	8.5166e-08	1.94368	0.01028
S	8	1046	4	1.32066	0.28971	2.3107e-08	1.64190	0.01057
M	1	1046	4	1.12279	0.31214	5.3718e-07	1.93503	0.01148
M	2	1046	4	1.27286	0.29663	7.7888e-08	1.80887	0.00810
M	3	1046	4	1.17334	0.29737	2.5566e-07	1.83446	0.01192
M	4	1046	4	1.40841	0.30989	1.6951e-08	1.88737	0.00744
M	5	1046	4	1.05285	0.30524	1.3327e-06	1.90477	0.01107
M	6	1046	4	1.45314	0.26871	8.0591e-09	1.65915	0.01202
M	7	1046	4	1.38031	0.31035	1.9012e-08	1.84077	0.00991
M	8	1046	4	1.31262	0.30938	6.3303e-08	1.93859	0.01017
L	1	1046	4	1.29213	0.28710	8.5049e-08	1.82807	0.01040
L	2	1046	4	1.33230	0.29644	4.8865e-08	1.86612	0.00991
