strain	rep	gen	batch	r	k	n0	auc	sigma
M	0	0	9	1.41120	0.33290	3.0195e-08	2.21265	0.00968
M	0	0	9	1.40625	0.34310	1.9474e-08	2.15441	0.00930
M	0	0	9	1.42911	0.34682	1.0420e-08	2.10778	0.00924
L	0	0	9	1.29243	0.33613	2.8699e-08	1.86479	0.00994
L	0	0	9	1.26720	0.33575	2.7074e-08	1.75768	0.00862
L	0	0	9	1.29409	0.33206	2.1801e-08	1.77561	0.00832
X	0	0	9	1.31560	0.32871	2.2571e-07	2.41332	0.01698
X	0	0	9	1.21567	0.35905	1.6501e-07	2.19087	0.01114
X	0	0	9	1.35407	0.32679	6.1611e-08	2.17848	0.01500
S	1	2375	9	1.73658	0.53360	7.7108e-09	4.11214	0.03897
S	2	2375	9	2.24141	0.42905	8.1085e-10	3.94040	0.04905
S	3	2375	9	1.59625	0.35857	1.6036e-08	2.69413	0.01007
S	4	2375	9	2.50804	0.30433	3.1773e-12	2.47849	0.04206
S	5	2375	9	1.64406	0.64508	8.7289e-09	4.54054	0.01671
S	6	2375	9	2.23463	0.33978	7.8744e-11	2.79883	0.01899
S	7	2375	9	1.43764	0.34154	2.0384e-07	2.76898	0.01152
S	8	2375	9	1.21501	0.34222	5.3116e-07	2.42742	0.00890
M	1	2375	9	2.51654	0.33189	4.3971e-12	2.71776	0.02399
M	2	2375	9	1.43751	0.31427	8.0456e-08	2.37385	0.00909
M	3	2375	9	2.30500	0.36465	4.1407e-11	2.99737	0.05032
M	4	2375	9	1.78358	0.34749	8.1920e-09	2.87314	0.01019
M	5	2375	9	2.62720	0.35903	1.2011e-12	2.91002	0.02941
M	6	2375	9	2.17658	0.38334	1.2694e-10	3.09853	0.05702
M	7	2375	9	1.72446	0.36001	3.7897e-08	3.17844	0.01391
M	8	2375	9	2.36537	0.33942	3.9730e-11	2.89248	0.04064
L	1	2375	9	2.58387	0.33954	2.4326e-11	3.07890	0.06027
L	2	2375	9	1.98609	0.33887	3.7246e-09	3.00752	0.02050
L	3	2375	9	2.04026	0.30346	1.4595e-09	2.64586	0.01853
L	4	2375	9	2.01530	0.29374	1.9480e-09	2.56728	0.01743
L	5	2375	9	1.50749	0.32999	9.1715e-08	2.66483	0.01351
L	6	2375	9	1.31850	0.31465	6.1443e-07	2.55727	0.01252
L	7	2375	9	2.15111	0.37133	1.4101e-09	3.39817	0.02878
L	8	2375	9	1.04858	0.29879	1.2537e-05	2.50322	0.00840
X	1	2375	9	2.77706	0.30005	1.1587e-11	2.86757	0.03019
X	2	2375	9	1.70953	0.24761	3.0486e-09	1.88242	0.01737
X	3	2375	9	2.74106	0.28005	1.1156e-11	2.65252	0.03028
X	4	2375	9	1.47100	0.27071	3.9972e-07	2.42812	0.01942
X	5	2375	9	2.17607	0.29275	4.1205e-10	2.57808	0.02551
X	6	2375	9	1.99538	0.29638	5.0819e-10	2.38145	0.02176
X	7	2375	9	1.07390	0.32020	5.3379e-06	2.47722	0.02100
X	8	2375	9	3.00643	0.34887	6.9239e-14	2.95527	0.04161
k	2	2375	9	1.16794	0.32148	4.6256e-08	1.49570	0.00924
k	2	2375	9	1.19093	0.31643	3.5234e-08	1.47982	0.00895
k	2	2375	9	1.24292	0.30543	1.4456e-08	1.38777	0.00739
S	0	0	10	1.45050	0.33504	5.4739e-09	1.93174	0.00948
S	0	0	10	1.46236	0.33729	5.3266e-09	1.96745	0.00857
S	0	0	10	1.47230	0.32940	7.4207e-09	2.02874	0.00795
M	0	0	10	1.44406	0.33488	1.8146e-08	2.19329	0.00977
M	0	0	10	1.38895	0.33892	2.0716e-08	2.09441	0.00902
M	0	0	10	1.43098	0.34361	7.7768e-09	2.00524	0.00945
L	0	0	10	1.30513	0.33931	1.9307e-08	1.81863	0.01068
L	0	0	10	1.27988	0.33850	1.7052e-08	1.69562	0.00964
L	0	0	10	1.29286	0.32410	1.7531e-08	1.67931	0.00827
X	0	0	10	1.42069	0.35980	3.4922e-08	2.44379	0.01571
X	0	0	10	1.34000	0.32937	5.5752e-08	2.13099	0.01369
X	0	0	10	1.56764	0.32856	7.4677e-09	2.26748	0.01396
S	1	2375	10	1.92199	0.40609	5.7771e-10	3.08080	0.02407
S	2	2375	10	2.22436	0.43064	5.2559e-10	3.85326	0.05730
S	3	2375	10	1.47033	0.38700	4.8567e-08	2.82194	0.00882
S	4	2375	10	2.70476	0.31914	4.5523e-13	2.59185	0.03786
S	5	2375	10	1.82132	0.56904	1.1490e-09	4.04906	0.03413
S	6	2375	10	1.62932	0.33150	2.4151e-08	2.65498	0.01235
S	7	2375	10	1.57555	0.35508	2.7599e-08	2.74401	0.01147
S	8	2375	10	1.22840	0.32429	5.4961e-07	2.35818	0.00969
M	1	2375	10	2.63089	0.42293	9.1972e-13	3.36600	0.05106
M	2	2375	10	1.24314	0.32573	6.2334e-07	2.44764	0.00945
M	3	2375	10	2.41566	0.40201	2.0234e-11	3.35276	0.06330
M	4	2375	10	1.65717	0.34199	2.3812e-08	2.78965	0.00909
M	5	2375	10	2.21851	0.36274	8.9154e-11	2.95277	0.05336
M	6	2375	10	2.51511	0.37599	2.2993e-12	2.97468	0.04292
M	7	2375	10	1.46865	0.33637	2.4398e-07	2.85329	0.01211
M	8	2375	10	2.22614	0.37223	1.1236e-10	3.10553	0.03390
L	1	2375	10	2.81854	0.33854	1.8609e-12	3.03119	0.03515
L	2	2375	10	2.44878	0.37610	1.6595e-11	3.17837	0.05764
L	3	2375	10	1.76747	0.30779	1.7512e-08	2.65865	0.01727
L	4	2375	10	1.77991	0.29608	1.0017e-08	2.48853	0.01671
L	5	2375	10	2.36003	0.35478	6.5192e-11	3.06988	0.01601
L	6	2375	10	1.30647	0.32896	5.8283e-07	2.60379	0.01138
L	7	2375	10	2.20119	0.34605	1.0184e-09	3.19776	0.03467
L	8	2375	10	3.23074	0.29692	7.2156e-14	2.72292	0.01632
X	1	2375	10	2.25287	0.26531	5.0656e-10	2.45894	0.02151
X	2	2375	10	1.54707	0.28356	1.2622e-08	2.07672	0.01478
X	3	2375	10	1.61564	0.31425	1.2784e-07	2.81488	0.01398
X	4	2375	10	1.94663	0.28133	1.5797e-09	2.35895	0.01629
X	5	2375	10	2.22191	0.29834	1.6463e-10	2.56152	0.02088
X	6	2375	10	2.52560	0.29439	5.2201e-12	2.46099	0.02985
X	7	2375	10	1.10801	0.32907	3.7140e-06	2.53991	0.01756
X	8	2375	10	2.31453	0.37166	9.2513e-11	3.18423	0.05360
k	2	2375	10	1.09018	0.32213	7.8354e-08	1.34191	0.00932
k	2	2375	10	1.17486	0.30887	3.0826e-08	1.36151	0.00874
k	2	2375	10	1.19251	0.30580	2.0987e-08	1.30675	0.00780
S	0	0	11	1.40643	0.33549	2.0122e-08	2.06066	0.00840
S	0	0	11	1.41756	0.34001	1.3760e-08	2.03859	0.01008
S	0	0	11	1.35546	0.33831	2.6788e-08	2.01565	0.00954
M	0	0	11	1.38261	0.33862	3.1436e-08	2.14313	0.00973
M	0	0	11	1.39647	0.34161	2.2508e-08	2.11280	0.01024
M	0	0	11	1.38478	0.34037	2.7319e-08	2.11192	0.00890
L	0	0	11	1.22708	0.33053	6.5046e-08	1.79335	0.00946
L	0	0	11	1.27511	0.33104	2.2425e-08	1.66741	0.00884
L	0	0	11	1.27394	0.33120	3.7930e-08	1.80906	0.00902
X	0	0	11	1.49821	0.31673	1.7349e-08	2.17659	0.01418
X	0	0	11	1.18255	0.33009	3.6420e-07	2.10741	0.01411
X	0	0	11	1.15415	0.33457	6.3682e-07	2.18991	0.01434
S	1	2907	11	2.09361	0.54720	1.5664e-10	4.11650	0.05464
S	2	2907	11	2.85252	0.50634	7.6810e-13	4.31256	0.08038
S	3	2907	11	1.55669	0.35823	2.7814e-08	2.66821	0.01131
S	4	2907	11	2.74769	0.27404	1.1313e-12	2.33905	0.02932
S	5	2907	11	2.04105	0.59408	1.2676e-10	4.19110	0.03879
S	6	2907	11	2.95373	0.34777	1.6609e-13	2.94678	0.03693
S	7	2907	11	1.64883	0.32190	2.4751e-08	2.59176	0.01216
S	8	2907	11	1.28338	0.32610	2.9330e-07	2.32683	0.00979
M	1	2907	11	2.25420	0.33857	8.3702e-11	2.77297	0.02611
M	2	2907	11	1.34155	0.34679	6.3595e-07	2.80874	0.01297
M	3	2907	11	2.28763	0.41630	8.6565e-11	3.46582	0.06491
M	4	2907	11	1.72331	0.34489	1.3414e-08	2.79214	0.01240
M	5	2907	11	2.73008	0.34688	1.1741e-12	2.89579	0.04002
M	6	2907	11	2.70824	0.37502	4.8638e-13	2.98196	0.05359
M	7	2907	11	3.06102	0.36698	5.7941e-14	3.10229	0.05269
M	8	2907	11	2.13604	0.41407	2.5688e-10	3.35508	0.07081
L	1	2907	11	3.02246	0.36118	3.6360e-13	3.20882	0.05990
L	2	2907	11	3.02804	0.30755	2.4667e-13	2.71940	0.03692
L	3	2907	11	3.00404	0.31410	1.9046e-13	2.74258	0.04148
L	4	2907	11	1.56857	0.29955	3.1456e-07	2.75802	0.01264
L	5	2907	11	1.25522	0.35528	2.3926e-06	2.97465	0.01538
L	6	2907	11	1.45036	0.29813	3.7069e-07	2.54848	0.01564
L	7	2907	11	3.14537	0.37998	1.1155e-13	3.38460	0.09432
L	8	2907	11	1.84475	0.30111	1.8151e-08	2.68923	0.00793
X	1	2907	11	2.96237	0.31124	8.5614e-13	2.81268	0.03796
X	2	2907	11	1.48934	0.26785	1.4892e-07	2.22091	0.01467
X	3	2907	11	3.11128	0.29773	1.1323e-13	2.64124	0.03296
X	4	2907	11	1.04285	0.31216	7.1209e-06	2.39598	0.01886
X	5	2907	11	2.77009	0.28760	5.3457e-12	2.63172	0.03656
X	6	2907	11	1.35845	0.26699	2.8319e-07	2.08262	0.01331
X	7	2907	11	1.36137	0.26882	4.5154e-07	2.19307	0.01273
X	8	2907	11	2.29006	0.27476	2.6233e-10	2.45204	0.02449
k	2	2907	11	1.17054	0.30798	3.9374e-08	1.36958	0.00804
k	2	2907	11	1.13072	0.31944	7.5954e-08	1.43388	0.00905
k	2	2907	11	1.18710	0.31437	3.8824e-08	1.44494	0.00860
S	0	0	12	1.42958	0.33725	1.2607e-08	2.03317	0.00927
S	0	0	12	1.39295	0.34328	1.7252e-08	2.05335	0.01052
S	0	0	12	1.42206	0.33384	1.1857e-08	1.97786	0.00853
M	0	0	12	1.35636	0.33955	3.7238e-08	2.10050	0.00962
M	0	0	12	1.38759	0.33287	2.0916e-08	2.00494	0.00913
M	0	0	12	1.41315	0.34321	1.5964e-08	2.08143	0.00990
L	0	0	12	1.30607	0.34507	1.8667e-08	1.79494	0.01193
L	0	0	12	1.25563	0.33417	2.1289e-08	1.60651	0.00954
L	0	0	12	1.25804	0.32612	4.0334e-08	1.74828	0.00875
X	0	0	12	1.30155	0.36016	7.3176e-08	2.23092	0.01421
X	0	0	12	1.30794	0.33139	9.7648e-08	2.15921	0.01362
X	0	0	12	1.40487	0.33340	4.0893e-08	2.21610	0.01346
S	1	2907	12	2.34986	0.46609	1.7929e-11	3.64627	0.05831
S	2	2907	12	2.72400	0.54473	2.2371e-12	4.57233	0.07011
S	3	2907	12	1.38940	0.38099	1.2591e-07	2.74366	0.01054
S	4	2907	12	2.65300	0.31665	1.6716e-12	2.62078	0.03002
S	5	2907	12	2.08611	0.60117	8.5752e-11	4.26399	0.04978
S	6	2907	12	2.01676	0.35028	8.1208e-10	2.86687	0.01983
S	7	2907	12	1.39031	0.33181	2.8082e-07	2.61424	0.01499
S	8	2907	12	1.30298	0.31808	2.6362e-07	2.30324	0.01018
M	1	2907	12	2.62645	0.41859	3.1985e-12	3.47398	0.02749
M	2	2907	12	1.32017	0.34579	7.1798e-07	2.77552	0.00945
M	3	2907	12	2.20705	0.41256	3.8718e-10	3.53777	0.05116
M	4	2907	12	1.64764	0.34817	2.6054e-08	2.78378	0.01077
M	5	2907	12	3.01082	0.36206	6.6216e-14	3.01514	0.05652
M	6	2907	12	2.64869	0.38509	9.2755e-13	3.04590	0.04128
M	7	2907	12	3.41666	0.35064	1.0339e-15	2.89926	0.03886
M	8	2907	12	2.14399	0.44468	2.1655e-10	3.56792	0.07486
L	1	2907	12	2.85079	0.36905	1.5703e-12	3.25918	0.05892
L	2	2907	12	2.97553	0.34348	2.3270e-13	2.95672	0.04402
L	3	2907	12	3.27486	0.32689	2.1036e-14	2.87374	0.03979
L	4	2907	12	1.36900	0.30372	1.6526e-06	2.76326	0.01349
L	5	2907	12	1.64668	0.37718	9.0672e-08	3.26775	0.01545
L	6	2907	12	1.58099	0.32030	1.0042e-07	2.69190	0.01879
L	7	2907	12	2.29767	0.38185	2.7138e-10	3.34292	0.07576
L	8	2907	12	3.15522	0.32337	2.1223e-13	2.96004	0.02082
X	1	2907	12	2.18012	0.30813	1.0283e-09	2.77198	0.02137
X	2	2907	12	1.29780	0.28624	7.9839e-07	2.32491	0.01677
X	3	2907	12	1.61147	0.34914	6.8137e-08	2.90091	0.01631
X	4	2907	12	1.67304	0.28895	8.0495e-09	2.19661	0.01341
X	5	2907	12	2.82056	0.29485	3.5790e-12	2.68332	0.03121
X	6	2907	12	1.74696	0.27374	1.1829e-08	2.25964	0.01141
X	7	2907	12	1.30603	0.28627	8.4138e-07	2.32586	0.01240
X	8	2907	12	2.30262	0.32263	1.9085e-10	2.82776	0.03723
k	2	2907	12	1.09749	0.31847	6.6146e-08	1.26234	0.00838
k	2	2907	12	1.13595	0.31931	5.4600e-08	1.35725	0.00924
k	2	2907	12	1.12439	0.31536	6.3566e-08	1.35597	0.00898
S	0	0	13	1.31763	0.33630	3.6759e-08	1.33612	0.00858
S	0	0	13	1.31376	0.33948	4.2258e-08	1.38674	0.00927
S	0	0	13	1.31763	0.33420	5.0599e-08	1.42427	0.00997
M	0	0	13	1.31265	0.34026	5.5603e-08	1.45217	0.00966
M	0	0	13	1.32554	0.33415	4.6825e-08	1.42452	0.00937
M	0	0	13	1.32615	0.34298	3.4213e-08	1.37400	0.00902
L	0	0	13	1.13645	0.34519	1.2875e-07	1.08310	0.00861
L	0	0	13	1.13015	0.34193	1.3467e-07	1.05964	0.00819
L	0	0	13	1.12771	0.34290	1.4049e-07	1.07800	0.00970
X	0	0	13	1.20844	0.31482	1.7365e-07	1.33739	0.01149
X	0	0	13	1.17508	0.34971	2.8039e-07	1.48099	0.01186
X	0	0	13	1.14059	0.35580	3.2305e-07	1.41378	0.01064
S	1	2907	13	2.00460	0.42651	1.0798e-09	2.68846	0.05381
S	2	2907	13	3.26516	0.35254	3.9178e-14	2.50209	0.05284
S	3	2907	13	1.19281	0.33474	1.7863e-06	1.98189	0.01270
S	4	2907	13	2.69916	0.31548	1.0523e-12	2.03686	0.03598
S	5	2907	13	1.89341	0.59928	2.4893e-09	3.55005	0.03785
S	6	2907	13	2.52861	0.37871	1.3555e-11	2.53634	0.03444
S	7	2907	13	2.71827	0.32888	1.4972e-12	2.18799	0.04012
S	8	2907	13	1.27472	0.35149	2.7627e-07	1.80017	0.01050
M	1	2907	13	3.21583	0.39385	7.7737e-14	2.78104	0.03797
M	2	2907	13	1.38269	0.33548	2.9249e-07	2.02583	0.01361
M	3	2907	13	2.72251	0.37619	1.1264e-12	2.43657	0.04935
M	4	2907	13	1.58920	0.34946	8.4031e-08	2.27673	0.01159
M	5	2907	13	3.04647	0.36142	8.9019e-14	2.42282	0.05773
M	6	2907	13	2.68015	0.39098	1.7030e-12	2.52311	0.05408
M	7	2907	13	2.73138	0.34316	1.3570e-12	2.28340	0.06609
M	8	2907	13	1.91255	0.38021	1.9427e-09	2.36827	0.05017
L	1	2907	13	2.95018	0.32482	2.0452e-12	2.42149	0.06840
L	2	2907	13	2.40348	0.32372	5.8661e-11	2.22678	0.03511
L	3	2907	13	3.18814	0.37778	8.2615e-14	2.67583	0.07754
L	4	2907	13	1.50001	0.29766	2.2097e-07	2.00121	0.01214
L	5	2907	13	1.58114	0.34534	1.0584e-07	2.28884	0.01272
L	6	2907	13	1.69909	0.30117	3.4758e-08	2.02835	0.01518
L	7	2907	13	3.15807	0.36530	1.5907e-13	2.62760	0.08001
L	8	2907	13	2.83480	0.28615	8.7948e-12	2.18045	0.01662
X	1	2907	13	3.22592	0.33744	8.1860e-14	2.42757	0.05703
X	2	2907	13	0.55363	567780.51092	5.8214e-06	0.10574	0.00289
X	3	2907	13	2.42587	0.29865	2.2336e-11	1.97906	0.04017
X	4	2907	13	1.01286	0.33286	3.9947e-06	1.67675	0.01386
X	5	2907	13	2.69100	0.27456	2.8949e-12	1.88031	0.02954
X	6	2907	13	0.71068	0.45219	1.2344e-04	2.02758	0.01870
X	7	2907	13	1.05015	0.31547	4.2328e-06	1.71782	0.01323
X	8	2907	13	2.57294	0.33006	1.7754e-11	2.31711	0.06786
k	2	2907	13	0.92871	0.38989	5.5573e-07	0.70205	0.00518
k	2	2907	13	0.96800	0.36286	4.0616e-07	0.76617	0.00684
k	2	2907	13	1.01792	0.34900	2.4583e-07	0.80543	0.00669
S	0	0	14	1.34405	0.34345	1.8440e-08	1.26299	0.00909
S	0	0	14	1.35710	0.34719	1.6988e-08	1.30637	0.00995
S	0	0	14	1.33849	0.33219	3.0132e-08	1.33167	0.00848
M	0	0	14	1.25664	0.34640	6.4870e-08	1.32068	0.00903
M	0	0	14	1.28407	0.34076	5.9901e-08	1.36836	0.00870
M	0	0	14	1.31251	0.35446	3.0053e-08	1.33253	0.01037
L	0	0	14	1.08676	0.37184	1.9714e-07	1.07178	0.00965
L	0	0	14	1.05116	0.37701	2.1346e-07	0.93967	0.00858
L	0	0	14	1.05083	0.35780	2.6211e-07	0.98418	0.00843
X	0	0	14	1.11861	0.34766	4.0237e-07	1.36106	0.01125
X	0	0	14	1.17408	0.33753	2.2391e-07	1.36789	0.01147
X	0	0	14	1.31587	0.32242	6.2959e-08	1.42209	0.01146
S	1	2375	14	1.80855	0.41101	2.6516e-09	2.36400	0.04691
S	2	2375	14	3.15430	0.38463	3.2229e-14	2.57358	0.05626
S	3	2375	14	1.12561	0.36279	1.9108e-06	1.91220	0.00991
S	4	2375	14	1.93005	0.33937	5.9489e-10	1.92582	0.02531
S	5	2375	14	2.08669	0.45367	9.2807e-11	2.48531	0.05443
S	6	2375	14	2.03320	0.32669	2.5983e-10	1.92543	0.01321
S	7	2375	14	1.42149	0.33853	1.1297e-07	1.90333	0.01392
S	8	2375	14	1.22706	0.33007	3.5178e-07	1.61874	0.00989
M	1	2375	14	2.77810	0.41828	4.8310e-13	2.64078	0.05698
M	2	2375	14	1.30903	0.33372	2.5822e-07	1.78984	0.00975
M	3	2375	14	2.67706	0.34346	1.3271e-12	2.18951	0.03592
M	4	2375	14	1.48704	0.34923	8.2413e-08	2.03952	0.00910
M	5	2375	14	2.84961	0.34980	2.2294e-13	2.22354	0.05011
M	6	2375	14	2.54859	0.35712	3.6838e-12	2.23023	0.04620
M	7	2375	14	2.39794	0.35253	6.4350e-12	2.08529	0.05388
M	8	2375	14	2.03733	0.38458	2.5375e-10	2.25719	0.05217
L	1	2375	14	2.31593	0.31999	1.1343e-10	2.16739	0.03497
L	2	2375	14	2.48153	0.32872	1.7242e-11	2.19777	0.05932
L	3	2375	14	1.99986	0.32022	1.9285e-09	2.14186	0.01989
L	4	2375	14	2.21430	0.30659	6.3388e-11	1.88124	0.02050
L	5	2375	14	1.48612	0.36635	1.8592e-07	2.32090	0.01791
L	6	2375	14	1.53974	0.30314	5.7009e-08	1.83042	0.01774
L	7	2375	14	3.07782	0.37345	5.7287e-14	2.48601	0.07688
L	8	2375	14	1.02820	0.28829	1.8334e-05	1.88886	0.02052
X	1	2375	14	1.74198	0.26119	2.0106e-08	1.74662	0.01401
X	2	2375	14	0.41025	1012132.62485	5.7762e-05	0.12174	0.00254
X	3	2375	14	2.33196	0.30033	2.8950e-11	1.89784	0.02551
X	4	2375	14	0.93118	0.31474	1.2994e-05	1.65549	0.02412
X	5	2375	14	2.78136	0.31241	4.5786e-13	2.00894	0.03354
X	6	2375	14	2.88240	0.31126	6.1755e-14	1.89544	0.02632
X	7	2375	14	0.97274	0.30786	4.1547e-06	1.39631	0.01419
X	8	2375	14	2.71791	0.36554	1.6963e-12	2.41224	0.05809
k	2	2375	14	0.76969	0.54300	3.3250e-06	0.61943	0.00275
k	2	2375	14	0.91134	0.38218	7.8554e-07	0.73625	0.00540
k	2	2375	14	0.90620	0.38546	8.5319e-07	0.75000	0.00550
S	0	0	15	1.40344	0.32179	1.5025e-08	1.96834	0.00892
S	0	0	15	1.38078	0.33024	7.7497e-09	1.79885	0.00897
S	0	0	15	1.38678	0.32042	2.2355e-08	2.01335	0.00905
M	0	0	15	1.34568	0.32654	3.6937e-08	2.05583	0.00936
M	0	0	15	1.36563	0.32449	1.6220e-08	1.90777	0.00904
M	0	0	15	1.41387	0.32959	1.3476e-08	2.02685	0.01000
L	0	0	15	1.25755	0.30271	2.8377e-08	1.60462	0.00890
L	0	0	15	1.23714	0.31540	3.0246e-08	1.60759	0.00866
L	0	0	15	1.24028	0.31474	4.5026e-08	1.72883	0.00935
X	0	0	15	1.35394	0.31036	5.8564e-08	2.09899	0.01084
X	0	0	15	1.21035	0.36133	2.4336e-07	2.31095	0.01663
X	0	0	15	1.30376	0.35935	7.4773e-08	2.29548	0.01148
S	1	1977	15	1.51824	0.45743	6.6385e-08	3.56108	0.04067
S	2	1977	15	1.48428	0.50361	9.6926e-08	3.88540	0.05933
S	3	1977	15	1.14661	0.36278	1.6258e-06	2.67032	0.01321
S	4	1977	15	0.82957	0.43434	5.2688e-05	3.08055	0.04265
S	5	1977	15	1.78937	0.38986	9.1493e-10	2.75722	0.03051
S	6	1977	15	1.94518	0.38882	9.7448e-10	3.10601	0.03326
S	7	1977	15	1.68326	0.32844	1.8017e-08	2.69835	0.01222
S	8	1977	15	1.39518	0.33378	6.5006e-08	2.36089	0.00954
M	1	1977	15	1.91617	0.36986	1.9159e-09	3.01864	0.02497
M	2	1977	15	1.54803	0.26819	2.7777e-08	2.08538	0.00830
M	3	1977	15	1.81454	0.45552	3.4803e-09	3.57319	0.03846
M	4	1977	15	1.69640	0.28385	1.1179e-08	2.29844	0.00887
M	5	1977	15	2.25438	0.38339	2.7117e-11	3.00146	0.03656
M	6	1977	15	1.70276	0.28798	2.0739e-09	2.07352	0.01240
M	7	1977	15	1.54621	0.31615	7.5849e-08	2.62617	0.02698
M	8	1977	15	2.04722	0.27871	1.7822e-10	2.21194	0.02976
L	1	1977	15	2.02391	0.29178	3.7715e-09	2.68120	0.03014
L	2	1977	15	1.77654	0.32455	9.3351e-09	2.73740	0.01367
L	3	1977	15	2.17133	0.35415	1.2152e-10	2.88434	0.02797
L	4	1977	15	1.70017	0.30036	1.9941e-08	2.53419	0.00951
L	5	1977	15	2.03237	0.24895	8.7592e-10	2.14713	0.01298
L	6	1977	15	1.80488	0.27866	5.1153e-09	2.31682	0.01427
L	7	1977	15	2.19731	0.32141	2.7179e-10	2.78972	0.03111
L	8	1977	15	0.52306	0.40112	1.7634e-03	3.00360	0.03899
X	1	1977	15	2.27262	0.29739	1.7310e-10	2.62455	0.01629
X	2	1977	15	1.17648	0.20232	1.4058e-08	0.87927	0.00983
X	3	1977	15	2.37735	0.28076	2.0619e-11	2.36517	0.02789
X	4	1977	15	1.59376	0.22825	3.2299e-08	1.89369	0.01654
X	5	1977	15	1.96518	0.29270	1.2804e-09	2.47665	0.01667
X	6	1977	15	1.90676	0.37511	1.6069e-09	3.03815	0.04265
X	7	1977	15	1.23741	0.31138	3.6715e-07	2.20236	0.01135
X	8	1977	15	2.54499	0.28344	1.3789e-11	2.51574	0.03864
k	2	1977	15	1.22346	0.29195	2.3748e-08	1.40440	0.00783
k	2	1977	15	1.23605	0.29174	1.9568e-08	1.39950	0.00830
k	2	1977	15	1.25437	0.29312	1.5086e-08	1.40703	0.00806
S	0	0	16	1.43998	0.33887	1.3268e-08	2.14700	0.01009
S	0	0	16	1.43425	0.33428	1.8497e-08	2.18595	0.00968
S	0	0	16	1.40356	0.31854	3.3812e-08	2.12743	0.00826
M	0	0	16	1.37548	0.33472	4.9986e-08	2.24094	0.00845
M	0	0	16	1.38675	0.31725	4.1552e-08	2.12433	0.00808
M	0	0	16	1.41419	0.33668	2.2406e-08	2.18151	0.00971
L	0	0	16	1.30562	0.33118	2.3225e-08	1.82765	0.00967
L	0	0	16	1.18541	0.34072	8.6291e-08	1.83150	0.01121
L	0	0	16	1.25760	0.32770	5.7235e-08	1.89343	0.00856
X	0	0	16	1.37964	0.35563	3.6859e-08	2.31214	0.01410
X	0	0	16	1.52595	0.34794	1.3474e-08	2.43195	0.01475
X	0	0	16	1.51428	0.35260	2.0091e-08	2.50335	0.01358
S	1	1511	16	1.48519	0.33357	2.4926e-08	2.36842	0.00882
S	2	1511	16	1.56250	0.33179	3.9005e-08	2.62951	0.00962
S	3	1511	16	1.40619	0.37183	1.2648e-07	2.79746	0.01087
S	4	1511	16	1.37759	0.32491	9.8849e-08	2.34617	0.00763
S	5	1511	16	1.36696	0.33436	1.2135e-07	2.43266	0.00914
S	6	1511	16	2.03229	0.35547	2.2916e-10	2.75704	0.01638
S	7	1511	16	1.56051	0.37172	2.0300e-08	2.75493	0.01070
S	8	1511	16	1.40103	0.32535	8.5594e-08	2.37514	0.00781
M	1	1511	16	2.06857	0.46236	2.0722e-10	3.58847	0.02901
M	2	1511	16	1.44413	0.32344	9.2384e-08	2.49450	0.00873
M	3	1511	16	2.32612	0.45713	7.7247e-12	3.45554	0.03354
M	4	1511	16	1.58580	0.26770	1.9816e-08	2.08393	0.01138
M	5	1511	16	2.16768	0.41434	1.1194e-10	3.32342	0.05538
M	6	1511	16	1.49504	0.27924	4.2768e-08	2.12995	0.01112
M	7	1511	16	1.84413	0.37403	2.7122e-09	2.98437	0.03165
M	8	1511	16	1.65719	0.28720	8.1547e-09	2.19688	0.01060
L	1	1511	16	3.24404	0.32356	1.2497e-14	2.80715	0.02941
L	2	1511	16	2.11002	0.36379	5.3235e-10	3.10700	0.04335
L	3	1511	16	1.53315	0.33029	1.2860e-07	2.80331	0.01269
L	4	1511	16	1.36636	0.32816	3.0157e-07	2.60457	0.01313
L	5	1511	16	1.69345	0.31586	2.5887e-08	2.68436	0.01385
L	6	1511	16	1.50258	0.31745	5.5422e-08	2.47029	0.01223
L	7	1511	16	1.46904	0.32182	9.2390e-08	2.53281	0.00995
L	8	1511	16	2.76035	0.41226	1.0667e-12	3.52534	0.04011
X	1	1511	16	1.70179	0.33931	2.1904e-08	2.84712	0.01601
X	2	1511	16	2.92761	0.39644	9.3733e-14	3.29287	0.05554
X	3	1511	16	1.79409	0.31855	1.2337e-08	2.76118	0.01508
X	4	1511	16	2.09541	0.25424	2.0465e-10	2.08035	0.02121
X	5	1511	16	2.62513	0.42785	4.0192e-12	3.63636	0.05287
X	6	1511	16	2.17564	0.43239	3.1605e-10	3.68060	0.05818
X	7	1511	16	1.45940	0.31432	1.1420e-07	2.49713	0.00916
X	8	1511	16	2.96958	0.35078	1.8464e-13	3.05018	0.02343
k	2	1511	16	1.09709	0.32591	5.5199e-08	1.28042	0.00848
k	2	1511	16	1.14006	0.30687	6.5790e-08	1.43956	0.00885
k	2	1511	16	1.12477	0.30592	7.0125e-08	1.40266	0.00862
S	0	0	17	1.42699	0.32783	1.1669e-08	2.00982	0.00862
S	0	0	17	1.45995	0.33187	8.3080e-09	2.05677	0.00993
S	0	0	17	1.38364	0.32051	3.1140e-08	2.09039	0.00962
M	0	0	17	1.36558	0.32469	3.5795e-08	2.09668	0.00922
M	0	0	17	1.37901	0.33063	4.0582e-08	2.23087	0.01133
M	0	0	17	1.46771	0.33497	7.7569e-09	2.08092	0.01024
L	0	0	17	1.28221	0.32257	2.4106e-08	1.72818	0.00918
